location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,40.386642,-3.6760864,651.0,3600,Europe/Madrid,CET
1,48.822495,2.2881355,43.0,3600,Europe/Paris,CET
2,50.861156,4.3315506,27.0,3600,Europe/Brussels,CET
3,42.7065,23.397343,555.0,7200,Europe/Sofia,EET
4,50.08787,14.475525,205.0,3600,Europe/Prague,CET
5,52.54833,13.407822,46.0,3600,Europe/Berlin,CET
6,59.437607,24.806377,10.0,7200,Europe/Tallinn,EET
7,47.486816,19.06404,124.0,3600,Europe/Budapest,CET
8,54.65729,25.2071,100.0,7200,Europe/Vilnius,EET
9,49.736378,6.239168,409.0,3600,Europe/Luxembourg,CET
10,56.97715,24.113924,6.0,7200,Europe/Riga,EET
11,44.46397,26.088955,85.0,7200,Europe/Bucharest,EET
12,46.08084,14.45151,300.0,3600,Europe/Ljubljana,CET

location_id,time,temperature_2m_max (°C),temperature_2m_min (°C)
0,2024-10-06,24.7,16.4
1,2024-10-06,16.9,9.7
2,2024-10-06,16.9,7.5
3,2024-10-06,19.0,10.3
4,2024-10-06,12.4,6.2
5,2024-10-06,12.6,5.4
6,2024-10-06,14.0,7.1
7,2024-10-06,14.6,8.1
8,2024-10-06,11.9,6.6
9,2024-10-06,12.8,4.2
10,2024-10-06,12.7,2.2
11,2024-10-06,21.2,14.7
12,2024-10-06,15.8,5.7
