truth_date,location,year_week,value,relative_humidity_2m,temperature_2m_max,temperature_2m_min,covid,prediction_1_weeks,prediction_2_weeks,prediction_3_weeks,prediction_4_weeks
2023-10-15,EE,2023-W41,198.3,79.180916,10.9728565,6.0942855,1,167.63472665843847,,,
2023-10-22,EE,2023-W42,145.1,77.90788,5.43,2.0942857,1,190.3686416916484,163.21767823308326,,
2023-10-29,EE,2023-W43,194.8,80.34454,2.4228573,-0.9485714,1,145.95369948984984,185.89096783400882,159.0368609190087,
2023-11-05,EE,2023-W44,220.6,88.45571,8.208571,3.6800003,1,184.5196104680061,141.7282230100049,181.22013430556237,154.95208673094507
2023-11-12,EE,2023-W45,295.3,97.0066,6.6514287,3.7585714,1,212.25865724045036,180.50318839814966,138.09775329144045,176.6945889468824
2023-11-19,EE,2023-W46,309.0,85.60587,0.3228571,-2.5271428,1,281.15718749562694,207.42558899950595,175.9716795860892,134.51475970634365
2023-11-26,EE,2023-W47,300.4,85.78447,-1.0199999,-7.062857,1,300.5053917346188,275.60480351686476,202.38311020058,171.61537178892263
2023-12-03,EE,2023-W48,345.1,88.26813,-2.4271429,-5.577143,1,294.0901036504376,294.1834196217143,269.3907524117444,197.49468402137836
2023-12-10,EE,2023-W49,339.9,87.63959,-6.6914287,-10.841429,1,333.53263484734316,287.7252718571076,287.8172339192641,263.3898338762372
2023-12-17,EE,2023-W50,395.7,91.60234,0.5228571,-2.7342856,1,333.0576980772017,327.32751718604425,281.51521058572945,281.60490237950273
2023-12-24,EE,2023-W51,325.3,91.6759,1.3228571,-1.5699999,1,382.95827903356314,326.51113451048366,320.7703481929078,275.43763682085483
2023-12-31,EE,2023-W52,306.4,91.28304,-0.62624997,-4.77,1,325.2646790624133,376.80917286893043,320.07866729612954,314.3878013309513
2024-01-07,EE,2024-W01,352.8,78.73084,-11.055715,-16.612858,1,301.39253181520485,318.33688214501336,370.1671021849995,313.77426886671975
2024-01-14,EE,2024-W02,312.4,86.31749,-2.8271427,-7.8414283,1,341.1146470825722,295.1809840151323,312.2319325249866,363.69781359418516
2024-01-21,EE,2024-W03,295.3,84.07478,-3.8771427,-12.105714,1,309.7801347867861,335.34833311146815,289.2212098806243,306.1764670768131
2024-01-28,EE,2024-W04,288.4,91.71452,0.91571426,-1.9271429,1,290.5288903791981,303.44003359659155,329.11977626239013,283.3698027927413
2024-02-04,EE,2024-W05,318.4,87.40913,1.4799999,-0.8128571,1,282.75491804214573,284.64871166449274,297.6068843809918,323.0626021590308
2024-02-11,EE,2024-W06,293.6,81.30206,-5.977143,-10.798571,1,308.7970156557804,277.11025561509564,279.0061996447061,291.84738050973806
2024-02-18,EE,2024-W07,289.3,89.466774,1.637143,-3.3700001,1,289.8343856832901,303.33265005792606,271.5893151866133,273.46361888831814
2024-02-25,EE,2024-W08,302.1,85.78707,4.3228574,-0.50571436,1,283.5689397898329,284.04309491370276,297.57024821789616,266.17726286096405
2024-03-03,EE,2024-W09,271.2,91.62284,4.794286,-1.162857,1,294.5523048335477,278.10316076169744,278.5778504838294,291.9572825111102
2024-03-10,EE,2024-W10,231.8,82.40016,2.0442858,-4.5271425,1,268.4975016117913,289.20740032268486,272.7272422898834,273.1962763780367
2024-03-17,EE,2024-W11,178.5,81.751465,5.544286,0.3371428,1,230.42442143103762,263.01155297093965,283.7517207964722,267.4568247448792
2024-03-24,EE,2024-W12,218.0,86.874016,4.122857,-0.47714287,1,179.18049324106104,225.36106221697932,257.92373834131416,278.4202395935785
2024-03-31,EE,2024-W13,212.0,81.88288,11.63,1.9371427,1,209.11423921186207,174.83334080519649,220.77258824320546,252.90491937837214
2024-04-07,EE,2024-W14,219.7,83.10323,5.144286,-1.0057142,1,207.70104495877925,205.15161920162214,171.0568737346716,216.24117660933462
2024-04-14,EE,2024-W15,206.9,82.191956,12.208571,5.001428,1,213.94560142785582,203.33558037238538,200.80046739224787,167.31771659023835
2024-04-21,EE,2024-W16,212.0,78.1828,3.4014285,-1.2342857,1,203.40777343566035,209.6353532351466,199.07713325035826,196.58768056771618
2024-04-28,EE,2024-W17,214.6,82.30516,9.872857,1.1514285,1,206.68101725975492,199.0869238227859,205.28231108916637,194.90635339395035
2024-05-05,EE,2024-W18,210.3,66.036285,13.958571,4.265714,1,209.5025553123248,202.50348682317906,194.94599533494954,201.03257078970884
2024-05-12,EE,2024-W19,169.1,62.842793,10.58,3.4657142,1,205.9798075219122,205.2741600950381,198.30912036154865,190.88240552325726
2024-05-19,EE,2024-W20,148.5,63.01598,20.137142,8.522857,1,169.16259996018238,201.75899352627218,201.0560541754151,194.21175437716514
2024-06-02,EE,2024-W22,117.6,69.980095,25.115713,14.88,0,146.94291213294244,165.21243061269183,197.6236065447301,196.93212802130142
2024-06-09,EE,2024-W23,136.5,74.83732,18.644285,10.63,0,117.65724482774044,143.6082935548374,161.74445781176487,193.57308756416617
2024-06-16,EE,2024-W24,141.6,74.73027,18.787142,10.365714,0,131.4379701507508,114.80877547627452,140.5220811056601,158.31046571043203
2024-07-14,EE,2024-W28,102.1,75.494026,23.215714,14.808571,0,137.7487687934672,128.7763260553109,112.30174429677513,137.48535247662733
2024-07-21,EE,2024-W29,85.0,78.73136,23.301428,15.872857,0,103.37112169074346,134.8376990315817,125.95000022861538,109.82326075173961
2024-07-28,EE,2024-W30,88.4,82.58109,23.45143,16.751429,0,84.51453222310123,100.74148758338319,131.90673786144475,123.20692707574673
2024-08-04,EE,2024-W31,94.4,81.85289,20.529999,15.28,0,85.92071049406948,82.49010370677154,98.54593010475352,129.04737124460135
2024-08-11,EE,2024-W32,98.7,82.16266,20.644285,14.008571,0,91.53818689044284,84.05172501627847,80.65890420458234,96.36246071727874
2024-09-01,EE,2024-W35,113.3,78.80333,21.929998,13.03,0,95.89918923803602,89.57447425742097,82.17137610995276,78.85451383053596
2024-09-08,EE,2024-W36,157.9,79.34089,24.101427,13.687142,0,109.20200093932205,93.82981498616184,87.57467768687661,80.3380647331877
2024-09-15,EE,2024-W37,214.6,80.93239,20.179998,14.7371435,0,150.0560146333007,106.94841384275833,91.74241086246803,85.62699847735992
2024-09-22,EE,2024-W38,230.0,83.71159,17.372858,10.28,0,204.78169050781045,147.23136841363072,104.57704936270368,89.70742967885892
2024-09-29,EE,2024-W39,236.0,82.504845,15.651428,10.451429,0,223.5602013458472,200.9632191106304,144.01085907055776,102.27392445583628
