location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
AT;2023-W41;1968,7;65,48767;17,399357;5,2850714;1;1740,800048828125;;;
AT;2023-W42;2114,8;77,72401;14,063643;3,5422142;1;1685,199951171875;1685,199951171875;;
AT;2023-W43;2094,0;83,45049;12,5636425;5,363643;1;1274,300048828125;1274,300048828125;1274,300048828125;
AT;2023-W44;2090,6;87,84499;8,327929;-0,67207134;1;1474,300048828125;1474,300048828125;1474,300048828125;1474,300048828125
AT;2023-W45;2248,4;82,679825;6,1064997;-2,5935001;1;2335,60009765625;2335,60009765625;2335,60009765625;2335,60009765625
AT;2023-W46;2184,9;86,691795;6,013643;0,33507153;1;2665,699951171875;2665,699951171875;2665,699951171875;2665,699951171875
AT;2023-W47;2778,6;85,55908;0,6636428;-4,0720716;1;3043,800048828125;3043,800048828125;3043,800048828125;3043,800048828125
AT;2023-W48;2395,5;85,73014;-1,1649286;-9,907786;1;4105,2998046875;4105,2998046875;4105,2998046875;4105,2998046875
AT;2023-W49;2834,0;82,554756;1,6350715;-8,1935;1;4338,0;4338,0;4338,0;4338,0
AT;2023-W50;3242,5;86,31288;4,1565003;-1,6220714;1;5849,2998046875;5849,2998046875;5849,2998046875;5849,2998046875
AT;2023-W51;3209,8;74,40386;4,442214;0,2993572;1;5322,7001953125;5322,7001953125;5322,7001953125;5322,7001953125
AT;2023-W52;2238,3;73,572;5,8252497;-4,3622503;1;4391,2001953125;4391,2001953125;4391,2001953125;4391,2001953125
AT;2024-W01;2420,4;84,53328;0,7850714;-5,686357;1;3043,300048828125;3043,300048828125;3043,300048828125;3043,300048828125
AT;2024-W02;2343,0;75,8771;-0,92207134;-9,5935;1;2853,89990234375;2853,89990234375;2853,89990234375;2853,89990234375
AT;2024-W03;2156,0;71,01148;2,4636428;-9,350642;1;2410,60009765625;2410,60009765625;2410,60009765625;2410,60009765625
AT;2024-W04;3180,1;75,48409;5,5493574;-3,7435;1;2140,10009765625;2140,10009765625;2140,10009765625;2140,10009765625
AT;2024-W05;3161,0;73,5995;7,1707854;-0,014928545;1;2072,39990234375;2072,39990234375;2072,39990234375;2072,39990234375
AT;2024-W06;3595,8;75,43933;7,699357;-0,32921425;1;2160,39990234375;2160,39990234375;2160,39990234375;2160,39990234375
AT;2024-W07;2634,8;78,90879;7,799357;-0,3792143;1;2468,5;2468,5;2468,5;2468,5
AT;2024-W08;1945,2;84,60369;4,613643;-2,3435;1;3132,699951171875;3132,699951171875;3132,699951171875;3132,699951171875
AT;2024-W09;2338,0;82,83692;9,427928;0,17792861;1;3298,5;3298,5;3298,5;3298,5
AT;2024-W10;1790,0;81,79389;5,1350713;-2,0792143;1;3172,800048828125;3172,800048828125;3172,800048828125;3172,800048828125
AT;2024-W11;1798,0;83,39875;8,677928;1,0850714;1;2899,800048828125;2899,800048828125;2899,800048828125;2899,800048828125
AT;2024-W12;2179,8;80,15226;9,327929;-1,2434999;1;3255,0;3255,0;3255,0;3255,0
AT;2024-W13;1629,1;73,68341;11,385071;1,5065;1;2285,199951171875;2285,199951171875;2285,199951171875;2285,199951171875
AT;2024-W14;1512,6;68,04641;16,792215;3,120786;1;;;;
AT;2024-W41;3214,2;82,49632;13,673167;4,914833;0;1968,699951171875;1968,699951171875;1968,699951171875;1968,699951171875
